full_name,default_branch,workflow_identifier,workflow_id,workflow_path,looks_like_instru,styles,invocation_types,third_party_provider_name,test_invocation_step_names,jobs_before_anchor_count,called_instru_signal,called_instru_file_paths,called_instru_origin_refs,called_instru_origin_step_names,called_instru_file_types,run_id,run_number,run_attempt,head_sha,created_at,run_started_at,status,run_conclusion,event,head_branch,html_url,extracted_at_utc,queue_seconds,time_to_first_instru_seconds,instru_conclusion,instru_detect_method,instru_duration_seconds,run_duration_seconds,runner_labels_union,instru_job_count,instru_step_count,instru_job_names,instru_step_names,instru_total_seconds,instru_window_seconds,instru_first_started_at,instru_last_completed_at,instru_share_of_run,anchor_job_name,anchor_job_started_at,anchor_job_start_source,time_to_first_instru_from_anchor_job_seconds,time_to_first_instru_from_anchor_job_quality,S2_run_started_at_jobs_min,S2_run_ended_at_jobs_max,S2_run_duration_seconds_jobs_window,S2_run_timing_source,S2_queue_seconds,S2_time_to_first_instru_seconds,S2_instru_conclusion,S2_instru_detect_method,S2_instru_duration_seconds,S2_run_duration_seconds,S2_runner_labels_union,S2_instru_job_count,S2_instru_step_count,S2_instru_job_names,S2_instru_step_names,S2_instru_total_seconds,S2_instru_window_seconds,S2_instru_first_started_at,S2_instru_last_completed_at,S2_instru_share_of_run,S2_anchor_job_name,S2_anchor_job_started_at,S2_anchor_job_start_source,S2_time_to_first_instru_from_anchor_job_seconds,S2_time_to_first_instru_from_anchor_job_quality
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21387375013,921,1,f16ab5bb2a8d03efcf1f0f0c459e9fd354429f59,2026-01-27T06:43:54Z,2026-01-27T06:43:54Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21387375013,2026-03-09T18:07:34.926789+00:00,0,35,success,step_regex,25,345,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",296,298,2026-01-27T06:44:29Z,2026-01-27T06:49:27Z,0.863768,watchdog-tests (master),2026-01-27T06:44:03Z,job_started_at,26,exact,2026-01-27T06:43:57Z,2026-01-27T06:49:42Z,345,jobs_window,0,35,success,step_regex,25,345,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",296,298,2026-01-27T06:44:29Z,2026-01-27T06:49:27Z,0.863768,watchdog-tests (master),2026-01-27T06:44:03Z,job_started_at,26,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21382019543,920,1,f16ab5bb2a8d03efcf1f0f0c459e9fd354429f59,2026-01-27T02:20:21Z,2026-01-27T02:20:21Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21382019543,2026-03-09T18:07:35.231423+00:00,0,33,success,step_regex,26,383,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",338,340,2026-01-27T02:20:54Z,2026-01-27T02:26:34Z,0.887728,watchdog-tests (master),2026-01-27T02:20:30Z,job_started_at,24,exact,2026-01-27T02:20:25Z,2026-01-27T02:26:48Z,383,jobs_window,0,33,success,step_regex,26,383,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",338,340,2026-01-27T02:20:54Z,2026-01-27T02:26:34Z,0.887728,watchdog-tests (master),2026-01-27T02:20:30Z,job_started_at,24,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21369652397,919,1,f16ab5bb2a8d03efcf1f0f0c459e9fd354429f59,2026-01-26T18:43:46Z,2026-01-26T18:43:46Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21369652397,2026-03-09T18:07:35.554501+00:00,0,37,success,step_regex,26,329,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",277,279,2026-01-26T18:44:23Z,2026-01-26T18:49:02Z,0.848024,watchdog-tests (master),2026-01-26T18:43:54Z,job_started_at,29,exact,2026-01-26T18:43:49Z,2026-01-26T18:49:18Z,329,jobs_window,0,37,success,step_regex,26,329,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",277,279,2026-01-26T18:44:23Z,2026-01-26T18:49:02Z,0.848024,watchdog-tests (master),2026-01-26T18:43:54Z,job_started_at,29,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21358547710,918,1,f16ab5bb2a8d03efcf1f0f0c459e9fd354429f59,2026-01-26T13:00:04Z,2026-01-26T13:00:04Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21358547710,2026-03-09T18:07:35.857918+00:00,0,35,success,step_regex,26,309,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",261,263,2026-01-26T13:00:39Z,2026-01-26T13:05:02Z,0.851133,watchdog-tests (master),2026-01-26T13:00:14Z,job_started_at,25,exact,2026-01-26T13:00:08Z,2026-01-26T13:05:17Z,309,jobs_window,0,35,success,step_regex,26,309,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",261,263,2026-01-26T13:00:39Z,2026-01-26T13:05:02Z,0.851133,watchdog-tests (master),2026-01-26T13:00:14Z,job_started_at,25,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21348757542,917,1,f16ab5bb2a8d03efcf1f0f0c459e9fd354429f59,2026-01-26T06:46:21Z,2026-01-26T06:46:21Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21348757542,2026-03-09T18:07:36.179997+00:00,0,45,success,step_regex,31,323,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",263,265,2026-01-26T06:47:06Z,2026-01-26T06:51:31Z,0.820433,watchdog-tests (master),2026-01-26T06:46:31Z,job_started_at,35,exact,2026-01-26T06:46:25Z,2026-01-26T06:51:48Z,323,jobs_window,0,45,success,step_regex,31,323,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",263,265,2026-01-26T06:47:06Z,2026-01-26T06:51:31Z,0.820433,watchdog-tests (master),2026-01-26T06:46:31Z,job_started_at,35,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21344205149,916,1,f16ab5bb2a8d03efcf1f0f0c459e9fd354429f59,2026-01-26T02:23:48Z,2026-01-26T02:23:48Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21344205149,2026-03-09T18:07:36.564495+00:00,0,38,success,step_regex,26,360,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",294,295,2026-01-26T02:24:26Z,2026-01-26T02:29:21Z,0.819444,watchdog-tests (master),2026-01-26T02:23:58Z,job_started_at,28,exact,2026-01-26T02:23:51Z,2026-01-26T02:29:51Z,360,jobs_window,0,38,success,step_regex,26,360,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",294,295,2026-01-26T02:24:26Z,2026-01-26T02:29:21Z,0.819444,watchdog-tests (master),2026-01-26T02:23:58Z,job_started_at,28,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21337546885,915,1,8f79b0ee912c3fd749494a8c3be6491a11cfec1e,2026-01-25T18:36:38Z,2026-01-25T18:36:38Z,completed,failure,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21337546885,2026-03-09T18:07:36.892898+00:00,0,53,success,step_regex,27,420,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",350,353,2026-01-25T18:37:31Z,2026-01-25T18:43:24Z,0.840476,watchdog-tests (master),2026-01-25T18:36:46Z,job_started_at,45,exact,2026-01-25T18:36:41Z,2026-01-25T18:43:41Z,420,jobs_window,0,53,success,step_regex,27,420,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",350,353,2026-01-25T18:37:31Z,2026-01-25T18:43:24Z,0.840476,watchdog-tests (master),2026-01-25T18:36:46Z,job_started_at,45,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21332917325,914,1,c2b413af2dfe17318022d879c5162ddff1e71145,2026-01-25T12:53:35Z,2026-01-25T12:53:35Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21332917325,2026-03-09T18:07:37.215893+00:00,0,44,success,step_regex,30,323,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",260,261,2026-01-25T12:54:19Z,2026-01-25T12:58:40Z,0.80805,watchdog-tests (master),2026-01-25T12:53:44Z,job_started_at,35,exact,2026-01-25T12:53:38Z,2026-01-25T12:59:01Z,323,jobs_window,0,44,success,step_regex,30,323,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",260,261,2026-01-25T12:54:19Z,2026-01-25T12:58:40Z,0.80805,watchdog-tests (master),2026-01-25T12:53:44Z,job_started_at,35,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21328382746,913,1,c2b413af2dfe17318022d879c5162ddff1e71145,2026-01-25T06:39:18Z,2026-01-25T06:39:18Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21328382746,2026-03-09T18:07:37.532463+00:00,0,34,success,step_regex,26,299,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",254,256,2026-01-25T06:39:52Z,2026-01-25T06:44:08Z,0.856187,watchdog-tests (master),2026-01-25T06:39:27Z,job_started_at,25,exact,2026-01-25T06:39:21Z,2026-01-25T06:44:20Z,299,jobs_window,0,34,success,step_regex,26,299,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",254,256,2026-01-25T06:39:52Z,2026-01-25T06:44:08Z,0.856187,watchdog-tests (master),2026-01-25T06:39:27Z,job_started_at,25,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21325454805,912,1,c2b413af2dfe17318022d879c5162ddff1e71145,2026-01-25T02:24:43Z,2026-01-25T02:24:43Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21325454805,2026-03-09T18:07:37.837078+00:00,0,37,success,step_regex,26,312,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",256,258,2026-01-25T02:25:20Z,2026-01-25T02:29:38Z,0.826923,watchdog-tests (master),2026-01-25T02:24:51Z,job_started_at,29,exact,2026-01-25T02:24:46Z,2026-01-25T02:29:58Z,312,jobs_window,0,37,success,step_regex,26,312,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",256,258,2026-01-25T02:25:20Z,2026-01-25T02:29:38Z,0.826923,watchdog-tests (master),2026-01-25T02:24:51Z,job_started_at,29,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21319720390,911,1,c2b413af2dfe17318022d879c5162ddff1e71145,2026-01-24T18:36:36Z,2026-01-24T18:36:36Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21319720390,2026-03-09T18:07:38.171233+00:00,0,46,success,step_regex,30,417,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",352,354,2026-01-24T18:37:22Z,2026-01-24T18:43:16Z,0.848921,watchdog-tests (master),2026-01-24T18:36:47Z,job_started_at,35,exact,2026-01-24T18:36:40Z,2026-01-24T18:43:37Z,417,jobs_window,0,46,success,step_regex,30,417,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",352,354,2026-01-24T18:37:22Z,2026-01-24T18:43:16Z,0.848921,watchdog-tests (master),2026-01-24T18:36:47Z,job_started_at,35,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21315382773,910,1,c2b413af2dfe17318022d879c5162ddff1e71145,2026-01-24T12:51:45Z,2026-01-24T12:51:45Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21315382773,2026-03-09T18:07:38.480876+00:00,0,35,success,step_regex,25,445,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",381,383,2026-01-24T12:52:20Z,2026-01-24T12:58:43Z,0.860674,watchdog-tests (master),2026-01-24T12:51:55Z,job_started_at,25,exact,2026-01-24T12:51:49Z,2026-01-24T12:59:14Z,445,jobs_window,0,35,success,step_regex,25,445,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",381,383,2026-01-24T12:52:20Z,2026-01-24T12:58:43Z,0.860674,watchdog-tests (master),2026-01-24T12:51:55Z,job_started_at,25,exact
cgeo/cgeo,master,Run watchdog tests,91516927,.github/workflows/watchdog.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run Unit Tests,,False,,,,,21310835750,909,1,c2b413af2dfe17318022d879c5162ddff1e71145,2026-01-24T06:38:32Z,2026-01-24T06:38:32Z,completed,success,schedule,master,https://github.com/cgeo/cgeo/actions/runs/21310835750,2026-03-09T18:07:38.855853+00:00,0,42,success,step_regex,30,443,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",385,387,2026-01-24T06:39:14Z,2026-01-24T06:45:41Z,0.873589,watchdog-tests (master),2026-01-24T06:38:43Z,job_started_at,31,exact,2026-01-24T06:38:36Z,2026-01-24T06:45:59Z,443,jobs_window,0,42,success,step_regex,30,443,ubuntu-latest,1,4,watchdog-tests (master),"AVD cache,create AVD and generate snapshot for caching,Run Unit Tests,Post AVD cache",385,387,2026-01-24T06:39:14Z,2026-01-24T06:45:41Z,0.873589,watchdog-tests (master),2026-01-24T06:38:43Z,job_started_at,31,exact
