full_name,workflow_id,run_id,run_attempt,declared_styles,job_name,step_number,step_name,status,conclusion,step_started_at,step_completed_at,seconds_from_run_start,global_step_index,anchor_match,explicit_instru,buildish,real_deviceish,thirdparty_marker,gmd_marker,androidish,custom_followed_file_support,called_origin_match
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,12,Store artifacts for upload,completed,success,2026-03-23T22:18:56+00:00,2026-03-23T22:18:59+00:00,1262,12,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,13,Post Setup Gradle,completed,success,2026-03-23T22:18:59+00:00,2026-03-23T22:19:41+00:00,1265,13,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,14,Post Set up JDK,completed,success,2026-03-23T22:19:41+00:00,2026-03-23T22:19:41+00:00,1307,14,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,15,Post Checkout (with history),completed,success,2026-03-23T22:19:41+00:00,2026-03-23T22:19:42+00:00,1307,15,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Build and test,16,Complete job,completed,success,2026-03-23T22:19:42+00:00,2026-03-23T22:19:42+00:00,1308,16,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Upload to GitHub releases,1,Set up job,completed,success,2026-03-23T22:19:47+00:00,2026-03-23T22:19:48+00:00,1313,17,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Upload to GitHub releases,2,Download artifacts from previous job,completed,success,2026-03-23T22:19:48+00:00,2026-03-23T22:19:49+00:00,1314,18,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Upload to GitHub releases,3,Set release name,completed,success,2026-03-23T22:19:49+00:00,2026-03-23T22:19:49+00:00,1315,19,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Upload to GitHub releases,4,Upload release,completed,success,2026-03-23T22:19:49+00:00,2026-03-23T22:19:56+00:00,1315,20,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Upload to GitHub releases,5,Complete job,completed,success,2026-03-23T22:19:56+00:00,2026-03-23T22:19:56+00:00,1322,21,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Trigger remote signing,1,Set up job,completed,success,2026-03-23T22:20:00+00:00,2026-03-23T22:20:01+00:00,1326,22,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Trigger remote signing,2,Pull ghcr.io/distributhor/workflow-webhook-container:v3.0.8,completed,success,2026-03-23T22:20:01+00:00,2026-03-23T22:20:05+00:00,1327,23,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Trigger remote signing,3,Download artifacts from previous job,completed,success,2026-03-23T22:20:05+00:00,2026-03-23T22:20:07+00:00,1331,24,False,False,False,False,False,False,False,False,False
